Site;Animal order;Animal family;Animal species ;Animal code;Origin;No. of visits;Probed flowers ;la
U;;;Syritta bulbus;146;I;4;3.00 ± 0.41;1
R;;;Syritta nigrofemorata;147;N;16;3.94 ± 0.76;8
U;;;;;;17;3.94 ± 0.82;8
R;;;Syritta sp near abyssinica;148;I;10;3.80 ± 0.90;7
U;;;;;;6;3.83 ± 1.08;3
U;;Tachinidae;Palexorista sp;109;N;1;2.00;1
R;;;Peribaea sp;114;Un;1;5.00;1
R;;;Phorinia sp;118;N;59;3.66 ± 0.29;12
U;;;;;;10;1.80 ± 0.33;5
R;;;Siphona sp;139;Un;3;1.33 ± 0.33;2
U;;;;;;1;4.00;1
R;;;Thelairodrino sp;152;Un;1;3.00;1
U;Diptera;Tachinidae;Thelairodrino sp;152;Un;1;1.00;1
R;;Tephritidae;Bactrocera cucurbitae;16;I;2;1.50 ± 0.5;2
R;;;Ceratitis roas;25;I;5;2.40 ± 0.40;3
U;;;;;;1;1.00;1
R;;;Dioxyna sororcula;41;I;11;2.73 ± 0.14;5
U;;;;;;25;3.12 ± 0.37;7
R;;;Goniurellia or Dectodes sp;61;Un;9;3.44 ± 0.75;3
U;;;;;;2;2.00 ± 0.00;1
R;;;Trirhithrum sp near nigerrimum;155;Un;7;2.14 ± 0.26;3
R;;Unknown;Diptera sp 1;42;Un;7;3.57 ± 0.61;1
U;;;Diptera sp 2;43;Un;1;2.00;1
U;;;Diptera sp 3;42;Un;1;2.00;1
R;Hemiptera;Cicadellidae;Acopsis viridicans;3;N;4;1.75 ± 0.25;3
R;;;Cicadellidae sp;32;Un;1;1.00;1
U;;Cixiidae;Cixiidae sp 1;33;Un;1;3.00;1
U;;;Cixiidae sp 2;34;Un;1;1.00;1
R;;Lygaeidae;Lygaeidae sp 1;80;Un;1;2.00;1
U;;;Lygaeidae sp 2;81;Un;1;5.00;1
U;;;Lygaeidae sp 3;82;Un;1;1.00;1
R;;;Lygaeidae sp 4;83;Un;1;3.00;1
R;;;Lygaeidae sp 5;84;Un;13;2.31 ± 0.50;3
U;;;;;;22;3.09 ± 0.38;1
R;;Miridae;Miridae sp;91;Un;5;1.40 ± 0.24;4
U;;;;;;1;8.00;1
R;;Nogodinidae ;Nogodinidae sp;101;Un;5;2.00 ± 0.45;1
R;;Psyllidae;Psyllidae sp 1;121;Un;1;1.00;1
R;;;Psyllidae sp 2;122;Un;1;1.00;1
U;Hemiptera;Psyllidae;Psyllidae sp 2;122;Un;1;1.00;1
R;;Ricaniidae;Tarundia servillei;149;Un;5;1.80 ± 0.37;4
R;;Tettigoniidae;Conocephalus sp 1;35;Un;1;1.00;1
R;;;Tettigoniidae sp 1;151;Un;1;1.00;1
R;Hymenoptera;Apidae;Apis mellifera;13;I;645;6.94 ± 0.27;43
U;;;;;;682;8.80 ± 0.35;28
U;;Braconidae;Agathidinae sp;5;Un;1;5.00;1
R;;;Cheloninae sp 1;27;Un;2;1.50 ± 0.50 ;1
U;;;;;;3;3.67 ± 0.67;1
R;;;Cheloninae sp 2;28;Un;1;2.00;1
U;;;Cheloninae sp 3;29;Un;2;1.00;1
U;;;Cotesia sp 1;36;Un;3;1.33 ± 0.33;1
R;;Calcidoidae;Calcidoidae sp 1;18;Un;1;3.00;1
R;;Colletidae;Paleorhiza sp 1;108;N;1;3.00;1
U;;Eurytonidae;Eurytonidae sp 1;55;Un;1;3.00;1
R;;Formicidae;Brachymyrmex sp;17;N;228;1.83 ± 0.12;20
U;;;;;;96;1.92 ± 0.10;12
R;;;Pheidole megacephala;116;I;16;1.69 ± 0.15;1
U;;;;;;3;2.00 ± 0.00;1
R;;;Technomyrmex albipes;150;I;456;2.05 ± 0.08;45
U;;;;;;236;2.10 ± 0.08;24
R;;Ichneumonidae;Campopleginae sp;20;Un;1;4.00;1
U;;;;;;2;2.00 ± 0.00;1
R;;;Cryptinae sp;38;Un;1;1.00;1
R;;Pteromalidae;Pteromalidae sp;123;Un;3;2.00 ± 0.58;1
R;;Scoliidae;Scolia carniflex;133;I;1;3.00;1
U;;;;;;1;9.00;1
R;Hymenoptera;Scoliidae;Scolia oryctophaga;134;I;1;11.00;1
R;;Vesperidae;Polistes hebraeus;119;I;42;4.71 ± 0.60;13
U;;;;;;34;4.68 ± 0.66;13
R;Lepidoptera;Arctiidae;Dysauxes florida;48;E;5;1.8 ± 0.37;3
U;;;;;;163;6.52 ± 0.52;18
R;;;Eilema squalida;49;N;4;4.75 ± 0.75;2
R;;;Nyctemera insulare;102;N;3;1.33 ± 0.33;2
U;;;;;;1;7.00;1
R;;Crambidae;Nacoleia sp 1;98;Un;252;2.37 ± 0.15;24
U;;;;;;78;2.24 ± 0.20;20
R;;;Nacoleia sp 2;99;Un;15;1.87 ± 0.17;7
U;;;;;;19;1.84 ± 0.37;5
R;;;Scopariinae sp;135;Un;3;2.00 ± 0.58;2
U;;;;;;2;1.00 ± 0.00;2
R;;Gelechiidae;Gelechioidea sp 1;58;Un;2;2.00 ± 0.00;2
U;;;;;;1;4.00;1
U;;;Gelechioidea sp 2;59;Un;16;2.00 ± 0.22;5
U;;;Gelechioidea sp 3;60;Un;2;1.50 ± 0.50;2
R;;Hesperiidae;Panara naso ;110;N;31;2.55 ± 0.34;13
U;;;;;;31;3.19 ± 0.33;11
R;;Hypsidae;Aganais borbonica ;4;N;1;2.00;1
R;;Lecithoceridae;Lecithoceridae sp 1;74;Un;6;1.83 ± 0.31;4
U;;;;;;3;1.67 ± 0.67;3
R;;;Lecithoceridae sp 2;75;Un;3;1.67 ± 0.33;3
R;;Lycaenidae;Leptotes pirithous ;76;N;16;3.06 ± 0.64;8
U;;;;76;N;14;4.00 ± 0.62;5
R;;;Zizeeria knysa;159;N;1;2.00;1
R;Lepidoptera;Macroglossidae;Macroglossum milvus;86;N;6;16.3 ± 5.28;2
U;;;;;;2;4.50 ± 2.50;2
R;;Noctuidae;Achaea finite;2;N;1;5.00;1
R;;;Agrostis atritegulator;6;Un;1;6.00;1
R;;;Condica capensis;11;N;1;1.00;1
R;;;Hydrillodes sp;69;N;8;1.25 ± 0.16;2
R;;;Mythimna sp;97;Un;1;2.00;1
R;;;Remigia frugalis;126;Un;1;2.00;1
R;;;Sarrothripinae sp;129;Un;1;2.00;1
R;;;Spodoptera littoralis;141;I;1;6.00;1
R;;;Strictopterinae sp;145;Un;1;2.00;1
U;;;Thysanoplusia orichalcea;153;N;1;3.00;1
R;;;Trichoplusia indicator ;154;N;4;4.75 ± 1.89;2
R;;Nymphalidae;Henotesia narcissus;63;N;26;2.00 ± 0.21;9
U;;;;;;4;3.50 ± 1.32;2
R;;;Phalanta phalantha ;115;N;1;6.00;1
U;;;;;;1;1.00;1
R;;Papillionidae;Papillio manlius;111;E;1;7.00;1
U;;Pieridae;Calopsilia florella;19;I;1;1.00;1
R;;Pterophoridae;Pterophoridae sp;124;Un;1;1.00;1
R;;Sphingidae;Cephonodes trochilus;21;N;6;8.17 ± 4.83;4
R;;;Hippotion eson;64;N;8;12.1 ± 4.81;3
U;;;;;;1;1.00;1
R;Passeriformes;Ploceidae;Foudia madagascariense;57;I;1;106.00;1
R;;Pycnonotidae;Pycnonotus jocosus ;125;I;1;37.00;1
R;;Zosteropidae;Zosterops mauritianus ;160;E;31;10.9 ± 3.11;8
U;;;;;;3;4.00 ± 0.58;2
R;Squamata;Gekkonidae;Phelsuma cepediana;117;E;44;6.93 ± 1.29;12
U;;;;;;5;4.60 ± 2.46;3
